Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Domino's Vice VR ;Domino's Vice VR v1+1.0 -unknown;samsapps.games.dominovr;1;2021-06-05 07:20 UTC;57
Imercyve Living with Intellectual Disability ;Imercyve Living with Intellectual Disability v44+1.20 -FFA;com.VGH.ID;44;2022-06-03 16:41 UTC;359
Anshar 2 Hyperdrive ;Anshar 2 Hyperdrive v196+196 -FFA;com.ozwe.aw2h;196;2022-04-26 07:48 UTC;3648
Alien Squatters ;Alien Squatters v4+0.2 -FFA;com.ReedGaming.AlienSquatters;4;2021-10-15 18:15 UTC;227
City Run VR ;City Run VR v1+1.0 -FFA;com.oculus.CityRunVR;1;2021-11-20 20:52 UTC;384
Battle On Top ;Battle On Top v200007+0.4.3 -FFA;com.FunIT.BattleOnTop_release;200007;2022-08-16 07:09 UTC;942
Ninja Legends ;Ninja Legends v1084+1.0.1084 -QU;com.coinflip.ninja;1084;2021-06-05 09:30 UTC;366
VR Focus ;VR Focus v24+2.4 -FFA;com.hotdarkmatter.VRFocus;24;2022-08-29 18:30 UTC;722
Zero Caliber Reloaded ;Zero Caliber Reloaded v1342+1.7.1342 -FFA;com.XrealGames.ZcReloaded;1342;2022-09-22 16:44 UTC;3898
Exorcist LegionVR ;Exorcist LegionVR v4003+4.3 -FFA;com.wolfandwood.exorcistlegionvr;4003;2022-10-13 13:31 UTC;1759
Off The Chains Disc Golf ;Off The Chains Disc Golf v70+1.04 -FFA;com.DreamNerdy.OffTheChainsDiscGolf;70;2022-03-17 22:44 UTC;4781
Homestar VR - Special Edition ;Homestar VR - Special Edition v41+1.03 -QU;com.pocket.homestarvrsp;41;2021-06-05 08:35 UTC;288
Colorball ;Colorball v32+0.6.2 -FFA;at.AppScore.Colorball;32;2022-03-14 16:42 UTC;985
Surgineer ;Surgineer v197+1.0.0.0197 -FFA;com.holonautic.Surgineer;197;2022-10-28 17:47 UTC;290
All Hail the Cook-o-tron ;All Hail the Cook-o-tron v10+1.2.5 -FFA;com.SlapJak.CookOtron;10;2022-02-17 21:45 UTC;806
Knockout League ;Knockout League v34+1.0 -QU;com.grab.knockout;34;2021-06-05 08:50 UTC;961
The Master Club ;The Master Club v17+1.7 -FFA;com.DefaultCompany.TheMasterClub;17;2022-06-19 01:34 UTC;253
Touring Karts PRO ;Touring Karts PRO v14+1.3 -FFA;com.ivanovichgames.touringkartsPRO;14;2022-02-20 05:24 UTC;580
Guided Tai Chi ;Guided Tai Chi v1240+1.2.40 -FFA;com.CubicleNinjas.GuidedTaiChi;1240;2022-08-16 06:43 UTC;1795
Alpine Acceleration ;Alpine Acceleration v11+1.1 -QU;com.sai.AlpineAcceleration;11;2021-10-10 06:03 UTC;126
Zombie Gunner ;Zombie Gunner v4+1.0 -QU;net.mobilemischief.zombiegunnerquest;4;2021-06-10 22:01 UTC;223
Project Demigod ;Project Demigod v207+0.19 -FFA;com.OmnifariousStudiosLLC.ProjectDemigod;207;2022-11-23 02:32 UTC;1572
MultiMeasure ;MultiMeasure v30+4.04 -FFA;com.VRWorld.MultiMeasure;30;2022-10-23 07:47 UTC;68
ForeVR Bowl ;ForeVR Bowl v220+1.0.220 -QU;com.forevr.bowling;220;2021-06-05 08:07 UTC;1118
Laser Blaze ;Laser Blaze v1+1.0.0 -unknown;cz.bkral.LaserBlaze;1;2021-06-05 08:51 UTC;211
Apollo 11 ;Apollo 11 v22+2.3 -Q2Patched-90Hz-CustomRes -QU;com.immersivevreducation.Apollo11QuestFinal;22;2021-06-05 13:34 UTC;1781
Return To Kurgansk ;Return To Kurgansk v313+1.1.0.0 -FFA;com.gaijin.sokvr;313;2022-04-13 13:44 UTC;472
Vader Immortal - Episode II ;Vader Immortal - Episode II v236948+2.0.2 -QU;com.ILMxLAB.VaderImmortal.ep2;236948;2021-06-05 12:40 UTC;3633
Electronauts ;Electronauts v175667+175667 (b) -QU;com.survios.Electronauts;175667;2021-06-05 07:29 UTC;1240
VekWars ;VekWars v3+0.10 -FFA;com.washingup.VekWars;3;2022-07-17 23:43 UTC;179
Hyper Dash ;Hyper Dash v662+1.25.10 -FFA;com.TriangleFactory.HyperDash;662;2022-07-20 23:42 UTC;1304
Home YogaVR ;Home YogaVR v6+6 -FFA;com.Yoga.HomeYoga;6;2022-02-21 21:05 UTC;368
TeleTennis ;TeleTennis v1040+0.1.040 -FFA;ar.hyper.TeleTennis;1040;2022-07-01 23:42 UTC;226
Project Terminus VR ;Project Terminus VR v598+2.2.3 -FFA;com.cvr.terminus_demo;598;2022-11-26 10:28 UTC;1237
Counter Fight ICHIRAN ;Counter Fight ICHIRAN v96+1.1.0_96 -QU;jp.tricol.IchiranVR;96;2021-06-05 06:37 UTC;592
Raccoon Lagoon ;Raccoon Lagoon v235238+1.0 -QU (b);com.hiddenpath.phoenix;235238;2021-06-05 10:06 UTC;1611
Hockey Bockey ;Hockey Bockey v36+1.07 -FFA;com.torbcorp.hockeybockey;36;2022-06-28 11:41 UTC;68
Crazy Cook ;Crazy Cook v6+0.6 -FFA;com.junglevr.crazycookvrtest;6;2022-06-25 11:29 UTC;356
Thumper ;Thumper v25+1.00 -QU;com.Drool.Thumper.quest;25;2021-06-05 12:12 UTC;275
Sam and Max - This Time It's Virtual! ;Sam and Max - This Time It's Virtual! v247+1.0.2 -VRP;com.happygiant.sammaxvr;247;2021-09-28 21:16 UTC;1273
